 
 -------------------------
 ForceFieldType:LJ_Q      
 -------------------------
 Rmin Table:
   1.2000000000000000        1.2000000000000000        1.2000000000000000     
   1.2000000000000000        1.2000000000000000        1.2000000000000000     
   1.2000000000000000        1.2000000000000000        0.0000000000000000     
 Molecular Index List
 Type, Mol, Index
           1           1           1
           1           2           2
           1           3           3
           1           4           4
           1           5           5
           1           6           6
           1           7           7
           1           8           8
           1           9           9
           1          10          10
           1          11          11
           1          12          12
           1          13          13
           1          14          14
           1          15          15
           1          16          16
           1          17          17
           1          18          18
           1          19          19
           1          20          20
           1          21          21
           1          22          22
           1          23          23
           1          24          24
           1          25          25
           1          26          26
           1          27          27
           1          28          28
           1          29          29
           1          30          30
           1          31          31
           1          32          32
           1          33          33
           1          34          34
           1          35          35
           1          36          36
           1          37          37
           1          38          38
           1          39          39
           1          40          40
           1          41          41
           1          42          42
           1          43          43
           1          44          44
           1          45          45
           1          46          46
           1          47          47
           1          48          48
           1          49          49
           1          50          50
           1          51          51
           1          52          52
           1          53          53
           1          54          54
           1          55          55
           1          56          56
           1          57          57
           1          58          58
           1          59          59
           1          60          60
           1          61          61
           1          62          62
           1          63          63
           1          64          64
           1          65          65
           1          66          66
           1          67          67
           1          68          68
           1          69          69
           1          70          70
           1          71          71
           1          72          72
           1          73          73
           1          74          74
           1          75          75
           1          76          76
           1          77          77
           1          78          78
           1          79          79
           1          80          80
           1          81          81
           1          82          82
           1          83          83
           1          84          84
           1          85          85
           1          86          86
           1          87          87
           1          88          88
           1          89          89
           1          90          90
           1          91          91
           1          92          92
           1          93          93
           1          94          94
           1          95          95
           1          96          96
           1          97          97
           1          98          98
           1          99          99
           1         100         100
 ------------------------------------------------------------------
 iType:           1
 Number of Paths:           3
      2      1
      3      1
      4      1

 ------------------------------------------------------------------
 Regrow Type:           0
 Pairlist:
           1           1   0.0000000000000000     
           1           2  -12.609573746225578     
           1           3  -8.2749411549302749     
           1           4  -61.290649096681591     
           1           5   9.4099398765647493     
           1           6  -1476.8454204537265     
           1           7  -21.761811917924206     
           1           8  -119.09222005061383     
           1           9   76.701847272375744     
           1          10  -20.693259585816122     
           1          11  -545.61644668687950     
           1          12  -23.592437342886114     
           1          13  -536.91813795953931     
           1          14   80.768219321169454     
           1          15   3.6936148096701800     
           1          16   6.1633510966858012     
           1          17  -18.350581637567302     
           1          18  -2374.3708159747184     
           1          19  -29.146793027033709     
           1          20  -30.190545017456316     
           1          21  -47.880605083988485     
           1          22   52.869232195367658     
           1          23  -68.117308573870105     
           1          24   10.551052463248197     
           1          25   16.733677398588043     
           1          26   38.536461529933149     
           1          27  -15.258086521120276     
           1          28  -7.2680159464762255     
           1          29   241.36917439391254     
           1          30   9.0093837220065325     
           1          31  -149.22684839952126     
           1          32   17.047807696402742     
           1          33  -23.586314904332539     
           1          34  -7.9835271126939915     
           1          35  -2152.1376925505610     
           1          36   15.548024908262960     
           1          37  -92.783176010092575     
           1          38  0.76827057965056156     
           1          39   4.4162202019306278     
           1          40  -43.878561866182281     
           1          41   6.3039519857684354     
           1          42   8.3848874366813106     
           1          43  -7.8216549448243313     
           1          44  -43.497262028748082     
           1          45  -46.272179303290613     
           1          46   10.707321131923891     
           1          47   4.3850804550493194     
           1          48  -2.9303819244523766     
           1          49   3.4744027119795646     
           1          50  -5.6605711606243858     
           1          51  -4.8787698084743170     
           1          52  -17.171891999289073     
           1          53  -20.974329069282248     
           1          54  -578.96156050009449     
           1          55   24.822627926409041     
           1          56   12.129206831392366     
           1          57   7.6823349397436687     
           1          58   31.088542732086353     
           1          59  -25.753530130898071     
           1          60  -2.6847176489864069     
           1          61  -7.0578008224092628     
           1          62  -9.9134084917277505     
           1          63   16.403378368184349     
           1          64 -0.90364731466615922     
           1          65  -11.407745352009442     
           1          66   17.902207804507270     
           1          67  -21.763959708496259     
           1          68  -7.1591244867704518     
           1          69   4.0439172971509834     
           1          70   6.6546988815443910     
           1          71  -6.8276424969917571     
           1          72  -20.102568894562864     
           1          73  -5.0212656173862342     
           1          74   11.321850500122309     
           1          75   4.2113865276842262     
           1          76   19.618851035011176     
           1          77  -51.311203866724099     
           1          78  -56.102030425696285     
           1          79  -1963.0321764191103     
           1          80  -22.702151528437753     
           1          81   9.3799930764744204     
           1          82   2.0634051998149516     
           1          83  -29.953562447262811     
           1          84  -60.565480125966133     
           1          85   3.7568690022289957     
           1          86   6.4869215981434536     
           1          87   16.894769702574195     
           1          88   468.97173736726108     
           1          89  -16.648393768557071     
           1          90   15.588201811737235     
           1          91  -795.85928010815405     
           1          92  -288.22277834314445     
           1          93   82.592037771930336     
           1          94   139.72506020516084     
           1          95   41.417075079094502     
           1          96 -0.25645107605305384     
           1          97  -90.755951918472419     
           1          98  -9.4168009080058255     
           1          99  -7.9112614320019929     
           1         100   14.921000825277588     
           2           1  -12.609573746225578     
           2           2   0.0000000000000000     
           2           3   10.009772853274626     
           2           4   14.678798553290108     
           2           5  -57.577852169441030     
           2           6  -10.720090519462246     
           2           7   512.01978695959406     
           2           8  -38.722991077567713     
           2           9   11.086140172030355     
           2          10  -154.38693271989905     
           2          11  -6.1913346103956428     
           2          12   127.19817497588519     
           2          13  -33.973944234461669     
           2          14   18.619733254585299     
           2          15  -34.499689879376092     
           2          16  -299.89520670463389     
           2          17   16.390801137711605     
           2          18  -3.7309403189119621     
           2          19  -50.190789863136160     
           2          20  -97.085929735229001     
           2          21   18.227105071990081     
           2          22   10.599417362598615     
           2          23  -21.206976285582641     
           2          24  -628.58937286230503     
           2          25  -43.985643096420972     
           2          26   18.585394682868355     
           2          27  -46.645213508942106     
           2          28  -2.1597264408010233     
           2          29   4.6390475663920370     
           2          30   9.0838810452187317     
           2          31  0.57336887758356170     
           2          32   3.7194196418822685     
           2          33  -5.3154496043898689     
           2          34   20.545950743588037     
           2          35  -13.124647074859240     
           2          36   4.6206044083774032     
           2          37  -27.650996883385233     
           2          38   26.543247686771792     
           2          39  -30.049731940456695     
           2          40  -59.355753135776467     
           2          41   284.24915458232863     
           2          42   24.835595405726053     
           2          43   2.2889381267141289     
           2          44   6.5893264974602062     
           2          45   205.79061115025979     
           2          46  -40.789569767948706     
           2          47  -67.165968463363242     
           2          48  -125.70730259247648     
           2          49   37.111877578030544     
           2          50  -312.44087728191516     
           2          51  -2426.5390632411800     
           2          52  -1.8633796761914709     
           2          53   21.933080089296709     
           2          54  -3.3235702960955678     
           2          55   16.498527924750306     
           2          56  -7.0514224312428269     
