 
           1   0.0000000000000000     
           2   3.3764026247515950     
           3   5.0536841790368561     
           4   5.7792938726593714     
           5   7.0798304498893110     
           6   8.2733245464709420     
           7   9.1993296358455137     
           8   9.9866790900433227     
           9   10.653954007341392     
          10   11.264351211246877     
          11   11.780509532355747     
          12   12.257521804254292     
          13   12.665885184942857     
          14   13.026999540310483     
          15   13.319962399807835     
          16   13.550787475928876     
          17   13.760176798486746     
          18   13.926259187395337     
          19   14.060883249000330     
          20   14.137533817667347     
          21   14.216217625653508     
          22   14.288897361384533     
          23   14.340891565997994     
          24   14.349181056414917     
          25   14.352946883965469     
          26   14.336693864157844     
          27   14.306991151406613     
          28   14.208882266180790     
          29   14.073398466206511     
          30   14.007507134568334     
 Rmin Table:
  0.80000000000000004       0.80000000000000004       0.80000000000000004     
  0.80000000000000004       0.80000000000000004       0.80000000000000004     
  0.80000000000000004       0.80000000000000004       0.80000000000000004     
 Molecular Index List
 Type, Mol, Index
           1           1           1
           1           2           2
           1           3           3
           1           4           4
           1           5           5
           1           6           6
           1           7           7
           1           8           8
           1           9           9
           1          10          10
           1          11          11
           1          12          12
           1          13          13
           1          14          14
           1          15          15
           1          16          16
           1          17          17
           1          18          18
           1          19          19
           1          20          20
           1          21          21
           1          22          22
           1          23          23
           1          24          24
           1          25          25
           1          26          26
           1          27          27
           1          28          28
           1          29          29
           1          30          30
 Pairlist:
           1           1   0.0000000000000000     

 Initial Energy Table:

 Rejection Distance:  0.80000000000000004       0.80000000000000004       0.80000000000000004     
 Regrow Type:           0
 Pairlist:
           1           1   0.0000000000000000     
           1           2  -1726.4335400675773     
           1           3  -3029.0101110082687     
           1           4  -662.63649008774519     
           1           5  -54.159252703349921     
           1           6   7.9172184121380269     
           1           7   1.6614952654199442     
           1           8   378.66004995859112     
           1           9   130.72810102476433     
           1          10   308.63693822964706     
           1          11  -12.092110307821713     
           1          12  0.32885722063656431     
           1          13  -159.06016007080325     
           1          14   51.549947800431255     
           1          15  -163.37879981519291     
           1          16  -8.3302095773760811     
           1          17  -13.264396136069990     
           1          18  -343.98228797208503     
           1          19   3.1712170891878486     
           1          20   60.808725408438477     
           1          21  -24.242949048089940     
           1          22  -331.99369330266927     
           1          23  -415.38375560516579     
           1          24   24.562331229135452     
           1          25   114.86378399780006     
           1          26   54.503452596512943     
           2           1  -1726.4335400675773     
           2           2   0.0000000000000000     
           2           3  -240.03996994703630     
           2           4  -1538.1637841075280     
           2           5  -824.39840271596768     
           2           6   29.259606294181140     
           2           7   163.30672551476528     
           2           8  -27.302434087148868     
           2           9  -141.21180704620929     
           2          10  -2189.6880056580849     
           2          11  -382.21974926627445     
           2          12   45.581301643625920     
           2          13   107.08653733625397     
           2          14  -28.901477396721020     
           2          15  -6.0872695972648216E-002
           2          16   178.10084572350388     
           2          17   147.06320023975422     
           2          18  -1585.5553727610677     
           2          19  -131.85545414303488     
           2          20  -114.17743344455084     
           2          21  -166.10037342728901     
           2          22  -108.30413495966786     
           2          23  -1863.2523225469486     
           2          24  -58.220794023640337     
           2          25  -181.57128198004648     
           2          26   347.90787572836416     
